run,variant,scenario,ccr,llm_pct,fbk_pct,sdr,inj,inj_star,avg_ms,duration_ms
18,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,97.000000,2900.000000
18,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,59.000000,4000.000000
18,prompt_only,normal,0.146000,1.000000,0.000000,,,,3420.000000,164200.000000
18,prompt_only,state_mod,0.088000,1.000000,0.000000,,,,2086.000000,70900.000000
18,prompt_only,injection,0.100000,1.000000,0.000000,,0.222000,0.222000,2124.000000,63700.000000
18,prompt_only,long_session,0.203000,1.000000,0.000000,,,,4106.000000,283300.000000
19,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,405.000000,19400.000000
19,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,739.000000,25100.000000
19,state_isolated,injection,1.000000,0.300000,0.111000,0.111000,0.185000,0.000000,904.000000,27100.000000
19,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,184.000000,12700.000000
19,deterministic_only,normal,1.000000,0.000000,0.000000,,,,80.000000,3800.000000
19,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,113.000000,3800.000000
19,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,98.000000,2900.000000
19,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
19,prompt_only,normal,0.146000,1.000000,0.000000,,,,3697.000000,177500.000000
19,prompt_only,state_mod,0.088000,1.000000,0.000000,,,,1679.000000,57100.000000
19,prompt_only,injection,0.000000,1.000000,0.000000,,0.185000,0.185000,2335.000000,70100.000000
19,prompt_only,long_session,0.130000,1.000000,0.000000,,,,4442.000000,306500.000000
20,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,460.000000,22100.000000
20,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,756.000000,25700.000000
20,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,905.000000,27200.000000
20,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,180.000000,12400.000000
20,deterministic_only,normal,1.000000,0.000000,0.000000,,,,77.000000,3700.000000
20,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,109.000000,3700.000000
20,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,93.000000,2800.000000
20,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
20,prompt_only,normal,0.125000,1.000000,0.000000,,,,4071.000000,195400.000000
20,prompt_only,state_mod,0.029000,1.000000,0.000000,,,,1739.000000,59100.000000
20,prompt_only,injection,0.133000,1.000000,0.000000,,0.259000,0.259000,1857.000000,55700.000000
20,prompt_only,long_session,0.159000,1.000000,0.000000,,,,3946.000000,272300.000000
21,state_isolated,normal,1.000000,0.083000,0.250000,0.250000,,,451.000000,21600.000000
21,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,724.000000,24600.000000
21,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,878.000000,26300.000000
21,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,177.000000,12200.000000
21,deterministic_only,normal,1.000000,0.000000,0.000000,,,,77.000000,3700.000000
21,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,103.000000,3500.000000
21,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,91.000000,2700.000000
21,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
21,prompt_only,normal,0.125000,1.000000,0.000000,,,,3522.000000,169000.000000
21,prompt_only,state_mod,0.088000,1.000000,0.000000,,,,1654.000000,56200.000000
21,prompt_only,injection,0.033000,1.000000,0.000000,,0.407000,0.407000,1844.000000,55300.000000
21,prompt_only,long_session,0.130000,1.000000,0.000000,,,,3889.000000,268300.000000
22,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,403.000000,19300.000000
22,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,790.000000,26900.000000
22,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,900.000000,27000.000000
22,state_isolated,long_session,1.000000,0.029000,0.500000,0.500000,,,179.000000,12400.000000
22,deterministic_only,normal,1.000000,0.000000,0.000000,,,,79.000000,3800.000000
22,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,110.000000,3700.000000
22,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,91.000000,2700.000000
22,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,59.000000,4000.000000
22,prompt_only,normal,0.167000,1.000000,0.000000,,,,3730.000000,179000.000000
22,prompt_only,state_mod,0.235000,1.000000,0.000000,,,,1858.000000,63200.000000
22,prompt_only,injection,0.100000,1.000000,0.000000,,0.444000,0.444000,1918.000000,57500.000000
22,prompt_only,long_session,0.130000,1.000000,0.000000,,,,3512.000000,242400.000000
23,state_isolated,normal,1.000000,0.083000,0.250000,0.250000,,,392.000000,18800.000000
23,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,738.000000,25100.000000
23,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,890.000000,26700.000000
23,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,181.000000,12500.000000
23,deterministic_only,normal,1.000000,0.000000,0.000000,,,,80.000000,3900.000000
23,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,111.000000,3800.000000
23,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,94.000000,2800.000000
23,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
23,prompt_only,normal,0.146000,1.000000,0.000000,,,,3918.000000,188100.000000
23,prompt_only,state_mod,0.029000,1.000000,0.000000,,,,1712.000000,58200.000000
23,prompt_only,injection,0.100000,1.000000,0.000000,,0.222000,0.222000,2105.000000,63200.000000
23,prompt_only,long_session,0.159000,1.000000,0.000000,,,,3619.000000,249700.000000
24,state_isolated,normal,1.000000,0.083000,0.250000,0.250000,,,401.000000,19200.000000
24,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,774.000000,26300.000000
24,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,894.000000,26800.000000
24,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,179.000000,12400.000000
24,deterministic_only,normal,1.000000,0.000000,0.000000,,,,80.000000,3800.000000
24,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,104.000000,3500.000000
24,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,91.000000,2700.000000
24,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,57.000000,4000.000000
24,prompt_only,normal,0.146000,1.000000,0.000000,,,,3875.000000,186000.000000
24,prompt_only,state_mod,0.088000,1.000000,0.000000,,,,1862.000000,63300.000000
24,prompt_only,injection,0.100000,1.000000,0.000000,,0.259000,0.259000,1997.000000,59900.000000
24,prompt_only,long_session,0.101000,1.000000,0.000000,,,,3840.000000,264900.000000
25,state_isolated,normal,1.000000,0.083000,0.000000,0.000000,,,393.000000,18900.000000
25,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,762.000000,25900.000000
25,state_isolated,injection,1.000000,0.300000,0.000000,0.000000,0.185000,0.000000,904.000000,27100.000000
25,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,182.000000,12500.000000
25,deterministic_only,normal,1.000000,0.000000,0.000000,,,,77.000000,3700.000000
25,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,104.000000,3500.000000
25,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,92.000000,2800.000000
25,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
25,prompt_only,normal,0.146000,1.000000,0.000000,,,,3836.000000,184100.000000
25,prompt_only,state_mod,0.088000,1.000000,0.000000,,,,1866.000000,63500.000000
25,prompt_only,injection,0.100000,1.000000,0.000000,,0.444000,0.444000,1946.000000,58400.000000
25,prompt_only,long_session,0.246000,1.000000,0.000000,,,,4049.000000,279300.000000
26,state_isolated,normal,1.000000,0.083000,0.500000,0.500000,,,392.000000,18800.000000
26,state_isolated,state_mod,1.000000,0.235000,0.000000,0.000000,,,740.000000,25200.000000
26,state_isolated,injection,1.000000,0.300000,0.111000,0.111000,0.185000,0.000000,898.000000,26900.000000
26,state_isolated,long_session,1.000000,0.029000,0.000000,0.000000,,,179.000000,12400.000000
26,deterministic_only,normal,1.000000,0.000000,0.000000,,,,79.000000,3800.000000
26,deterministic_only,state_mod,1.000000,0.000000,0.000000,,,,107.000000,3600.000000
26,deterministic_only,injection,1.000000,0.000000,0.000000,,0.185000,0.000000,97.000000,2900.000000
26,deterministic_only,long_session,1.000000,0.000000,0.000000,,,,58.000000,4000.000000
26,prompt_only,normal,0.146000,1.000000,0.000000,,,,3697.000000,177500.000000
